0	嗣
1	欠
2	鼫
3	身
4	藻
5	掌
6	默
7	譏
8	座
9	友
10	饗
11	堕
12	算
13	更
14	尖
15	噬
16	属
17	灸
18	審
19	咥
20	練
21	辞
22	肉
23	舂
24	漂
25	随
26	苦
27	筥
28	実
29	汝
30	陪
31	陥
32	螉
33	弥
34	否
35	遷
36	舁
37	歯
38	齋
39	腎
40	嫰
41	嘘
42	殻
43	夥
44	孰
45	鵙
46	任
47	粋
48	氷
49	襁
50	宋
51	洗
52	要
53	即
54	涅
55	尤
56	湯
57	鎔
58	嶌
59	椽
60	氏
61	𤇆
62	摘
63	秤
64	妖
65	況
66	霊
67	挿
68	臈
69	背
70	仇
71	喋
72	閻
73	林
74	櫚
75	貫
76	舌
77	壼
78	鬩
79	備
80	稱
81	紺
82	笋
83	泰
84	仕
85	蠃
86	図
87	雛
88	汾
89	觸
90	侘
91	佐
92	粟
93	薫
94	鎚
95	扈
96	薷
97	圭
98	愍
99	島
100	没
101	走
102	詐
103	袂
104	栃
105	頷
106	宇
107	但
108	闖
109	句
110	領
111	届
112	淺
113	齊
114	誇
115	曉
116	衾
117	願
118	醪
119	禪
120	珍
121	昂
122	樂
123	槁
124	尻
125	朗
126	下
127	教
128	繍
129	殺
130	濁
131	榪
132	宜
133	持
134	摺
135	渋
136	占
137	音
138	蠮
139	嵩
140	鷹
141	虎
142	薬
143	恟
144	檻
145	凹
146	喉
147	索
148	着
149	螢
150	格
151	璽
152	棟
153	母
154	卒
155	懺
156	挫
157	語
158	莖
159	漕
160	据
161	睢
162	辛
163	縻
164	惆
165	酌
166	法
167	菌
168	萌
169	跟
170	論
171	吝
172	慝
173	丞
174	禄
175	錄
176	庚
177	貨
178	蜘
179	靂
180	靼
181	懸
182	核
183	矩
184	顧
185	仙
186	従
187	緋
188	互
189	肚
190	鯨
191	碗
192	驅
193	釵
194	筲
195	圍
196	告
197	易
198	潜
199	泔
200	組
201	欽
202	駐
203	實
204	帆
205	規
206	命
207	媒
208	脣
209	觀
210	根
211	廱
212	将
213	底
214	飴
215	賣
216	孝
217	熱
218	銃
219	紹
220	凉
221	照
222	退
223	遂
224	留
225	伊
226	裏
227	入
228	勉
229	植
230	捏
231	梔
232	忌
233	盤
234	朮
235	密
236	據
237	睾
238	隋
239	鯉
240	蜍
241	寢
242	濟
243	羮
244	痢
245	蘇
246	牛
247	鬻
248	抄
249	笥
250	焉
251	支
252	拙
253	踞
254	木
255	亭
256	縊
257	朝
258	敢
259	齡
260	寤
261	家
262	望
263	守
264	垂
265	雄
266	伏
267	袍
268	糠
269	篇
270	孤
271	然
272	襟
273	椋
274	申
275	噪
276	葺
277	沙
278	儘
279	硫
280	爰
281	勿
282	凶
283	貪
284	艾
285	烟
286	怪
287	閑
288	腿
289	萸
290	竅
291	菖
292	農
293	云
294	許
295	赴
296	麪
297	埓
298	遇
299	略
300	全
301	障
302	泳
303	拭
304	靍
305	研
306	邑
307	鴈
308	鶺
309	倉
310	壺
311	征
312	玉
313	莟
314	増
315	瑪
316	琢
317	束
318	焦
319	鮥
320	餘
321	酴
322	帳
323	祚
324	狛
325	瓠
326	蜂
327	霹
328	嗔
329	他
330	蔵
331	街
332	萩
333	鮧
334	顛
335	篼
336	空
337	拿
338	踝
339	宝
340	後
341	説
342	妹
343	乃
344	兆
345	苵
346	逆
347	巡
348	篠
349	慈
350	殘
351	沸
352	耕
353	廩
354	椿
355	協
356	懶
357	廊
358	功
359	柱
360	鯖
361	涸
362	位
363	婆
364	碁
365	粃
366	幅
367	鯔
368	卯
369	貢
370	睨
371	虫
372	患
373	透
374	面
375	謂
376	諚
377	苓
378	構
379	鄲
380	剃
381	醒
382	鬛
383	鴬
384	蜈
385	米
386	風
387	寝
388	粗
389	鍮
390	四
391	便
392	芝
393	蕨
394	姊
395	縞
396	廓
397	楡
398	剋
399	鱲
400	搖
401	恙
402	是
403	蜻
404	英
405	絞
406	其
407	帶
408	獸
409	耐
410	渾
411	職
412	卅
413	鎭
414	動
415	死
416	憐
417	隂
418	篤
419	毀
420	別
421	遅
422	殽
423	沫
424	倶
425	驗
426	逞
427	智
428	拌
429	甜
430	僅
431	煎
432	由
433	界
434	茨
435	鞋
436	父
437	欬
438	鰻
439	桀
440	窮
441	巣
442	壌
443	贔
444	崔
445	諺
446	記
447	暁
448	粕
449	勾
450	瘤
451	愈
452	賄
453	蕺
454	坑
455	窕
456	逸
457	菜
458	翡
